config,outcome,source,floored,converged,tau_median,tau_lo,tau_hi
reporting,W,lrp-rli-itt-010,False,True,0.354417404824453,0.100751428454691,0.6111143415821074
reporting,R,lrp-rli-itt-005,False,True,0.0079367165563021,-0.127544471281198,0.1454724698926329
reporting,E,lrp-rli-itt-006,False,True,0.0070873035652418,-0.1187405623597894,0.1342990003967739
reporting,L,lrp-rli-itt-007,False,True,0.581523614127691,0.278345924060051,0.8767853631385626
reporting,B,lrp-rli-itt-008,False,True,0.448153963876517,0.0990632633436945,0.7911148555871377
reporting,TR,lrp-rli-itt-012,False,True,0.2461513108618891,0.0232922331827783,0.4651932727995698
reporting,TE,lrp-rli-itt-012,False,True,0.3271620838028107,0.0907458918600043,0.5656120742493467
reporting,UR,lrp-rli-itt-012,False,True,0.2907827703054628,-0.0039075000446801,0.5847161625684816
reporting,UE,lrp-rli-itt-012,False,True,0.1441198362243105,-0.1308042903420787,0.4152262542553449
reporting,R,lrp-rli-itt-012,False,True,0.0343811593621934,-0.1059961760563568,0.174072117187564
reporting,E,lrp-rli-itt-012,False,True,-0.0031332979376346,-0.1314238094611275,0.1279513137167571
reporting,L,lrp-rli-itt-012,False,True,0.5776981915068521,0.2727439348123549,0.8781106359853658
reporting,B,lrp-rli-itt-012,False,True,0.4138575995671057,0.0563535770072291,0.7601084835587766
reporting,P,lrp-rli-itt-012,True,True,0.3580801613030002,-0.2236057844315676,0.9353336339639484
reporting,W,lrp-rli-itt-012,False,True,0.3539999428327699,0.1012366391835679,0.6101555388950667
